"S value","Number of Comparisons"
"0","1.7942670238095242E8"
"1","1.7942670238095242E8"
"2","1.794266678095238E8"
"3","1.7994807914285713E8"
"4","1.7995441023809528E8"
"5","1.7995441023809528E8"
"6","1.7995441023809528E8"
"7","1.831148978095238E8"
"8","1.8316349219047615E8"
"9","1.8316349219047615E8"
"10","1.8316349219047615E8"
"11","1.8316349219047615E8"
"12","1.8316349219047615E8"
"13","1.8316349219047615E8"
"14","1.8316349219047615E8"
"15","1.9333294285714284E8"
"16","1.9359755438095236E8"
"17","1.9359755438095236E8"
"18","1.9359755438095236E8"
"19","1.9359755438095236E8"
"20","1.9359755438095236E8"
"21","1.9359755438095236E8"
"22","1.9359755438095236E8"
"23","1.9359755438095236E8"
"24","1.9359755438095236E8"
"25","1.9359755438095236E8"
"26","1.9359755438095236E8"
"27","1.9359755438095236E8"
"28","1.9359755438095236E8"
"29","1.9359755438095236E8"
"30","1.9359755438095236E8"
"31","2.1880153571428576E8"
"32","2.200451266190476E8"
"33","2.200451266190476E8"
"34","2.200451266190476E8"
"35","2.200451266190476E8"
"36","2.200451266190476E8"
"37","2.200451266190476E8"
"38","2.200451266190476E8"
"39","2.200451266190476E8"
"40","2.200451266190476E8"
"41","2.200451266190476E8"
"42","2.200451266190476E8"
"43","2.200451266190476E8"
"44","2.200451266190476E8"
"45","2.200451266190476E8"
"46","2.200451266190476E8"
"47","2.200451266190476E8"
"48","2.200451266190476E8"
"49","2.200451266190476E8"
"50","2.200451266190476E8"
"51","2.200451266190476E8"
"52","2.200451266190476E8"
"53","2.200451266190476E8"
"54","2.200451266190476E8"
"55","2.200451266190476E8"
"56","2.200451266190476E8"
"57","2.200451266190476E8"
"58","2.200451266190476E8"
"59","2.200451266190476E8"
"60","2.200451266190476E8"
"61","2.200451266190476E8"
"62","2.200451266190476E8"
"63","2.7422182138095236E8"
"64","2.7963315261904764E8"
"65","2.7963315261904764E8"
"66","2.7963315261904764E8"
"67","2.7963315261904764E8"
"68","2.7963315261904764E8"
"69","2.7963315261904764E8"
"70","2.7963315261904764E8"
"71","2.7963315261904764E8"
"72","2.7963315261904764E8"
"73","2.7963315261904764E8"
"74","2.7963315261904764E8"
"75","2.7963315261904764E8"
"76","2.7963315261904764E8"
"77","2.7963315261904764E8"
"78","2.7963315261904764E8"
"79","2.7963315261904764E8"
"80","2.7963315261904764E8"
"81","2.7963315261904764E8"
"82","2.7963315261904764E8"
"83","2.7963315261904764E8"
"84","2.7963315261904764E8"
"85","2.7963315261904764E8"
"86","2.7963315261904764E8"
"87","2.7963315261904764E8"
"88","2.7963315261904764E8"
"89","2.7963315261904764E8"
"90","2.7963315261904764E8"
"91","2.7963315261904764E8"
"92","2.7963315261904764E8"
"93","2.7963315261904764E8"
"94","2.7963315261904764E8"
"95","2.7963315261904764E8"
"96","2.7963315261904764E8"
"97","2.7963315261904764E8"
"98","2.7963315261904764E8"
"99","2.7963315261904764E8"
"100","2.7963315261904764E8"
"101","2.7963315261904764E8"
"102","2.7963315261904764E8"
"103","2.7963315261904764E8"
"104","2.7963315261904764E8"
"105","2.7963315261904764E8"
"106","2.7963315261904764E8"
"107","2.7963315261904764E8"
"108","2.7963315261904764E8"
"109","2.7963315261904764E8"
"110","2.7963315261904764E8"
"111","2.7963315261904764E8"
"112","2.7963315261904764E8"
"113","2.7963315261904764E8"
"114","2.7963315261904764E8"
"115","2.7963315261904764E8"
"116","2.7963315261904764E8"
"117","2.7963315261904764E8"
"118","2.7963315261904764E8"
"119","2.7963315261904764E8"
"120","2.7963315261904764E8"
"121","2.7963315261904764E8"
"122","2.7963315261904764E8"
"123","2.7963315261904764E8"
"124","2.7963315261904764E8"
"125","2.7963315261904764E8"
"126","2.7963315261904764E8"
"127","3.836119254285715E8"
"128","4.062103094285714E8"
"129","4.062103094285714E8"
"130","4.062103094285714E8"
"131","4.062103094285714E8"
"132","4.062103094285714E8"
"133","4.062103094285714E8"
"134","4.062103094285714E8"
"135","4.062103094285714E8"
"136","4.062103094285714E8"
"137","4.062103094285714E8"
"138","4.062103094285714E8"
"139","4.062103094285714E8"
"140","4.062103094285714E8"
"141","4.062103094285714E8"
"142","4.062103094285714E8"
"143","4.062103094285714E8"
"144","4.062103094285714E8"
"145","4.062103094285714E8"
"146","4.062103094285714E8"
"147","4.062103094285714E8"
"148","4.062103094285714E8"
"149","4.062103094285714E8"
"150","4.062103094285714E8"
"151","4.062103094285714E8"
"152","4.062103094285714E8"
"153","4.062103094285714E8"
"154","4.062103094285714E8"
"155","4.062103094285714E8"
"156","4.062103094285714E8"
"157","4.062103094285714E8"
"158","4.062103094285714E8"
"159","4.062103094285714E8"
"160","4.062103094285714E8"
"161","4.062103094285714E8"
"162","4.062103094285714E8"
"163","4.062103094285714E8"
"164","4.062103094285714E8"
"165","4.062103094285714E8"
"166","4.062103094285714E8"
"167","4.062103094285714E8"
"168","4.062103094285714E8"
"169","4.062103094285714E8"
"170","4.062103094285714E8"
"171","4.062103094285714E8"
"172","4.062103094285714E8"
"173","4.062103094285714E8"
"174","4.062103094285714E8"
"175","4.062103094285714E8"
"176","4.062103094285714E8"
"177","4.062103094285714E8"
"178","4.062103094285714E8"
"179","4.062103094285714E8"
"180","4.062103094285714E8"
"181","4.062103094285714E8"
"182","4.062103094285714E8"
"183","4.062103094285714E8"
"184","4.062103094285714E8"
"185","4.062103094285714E8"
"186","4.062103094285714E8"
"187","4.062103094285714E8"
"188","4.062103094285714E8"
"189","4.062103094285714E8"
"190","4.062103094285714E8"
"191","4.062103094285714E8"
"192","4.062103094285714E8"
"193","4.062103094285714E8"
"194","4.062103094285714E8"
"195","4.062103094285714E8"
"196","4.062103094285714E8"
"197","4.062103094285714E8"
"198","4.062103094285714E8"
"199","4.062103094285714E8"
"200","4.062103094285714E8"
"201","4.062103094285714E8"
"202","4.062103094285714E8"
"203","4.062103094285714E8"
"204","4.062103094285714E8"
"205","4.062103094285714E8"
"206","4.062103094285714E8"
"207","4.062103094285714E8"
