"Number of Vertices","Number of edges","Average Key Comparisons"
"Varying V, Fixed E","10","8357.0"
"Varying V, Fixed E","11","4096.0"
"Varying V, Fixed E","12","3071.0"
"Varying V, Fixed E","13","3272.0"
"Varying V, Fixed E","14","4176.0"
"Varying V, Fixed E","15","4983.0"
"Varying V, Fixed E","16","4341.0"
"Varying V, Fixed E","17","4820.0"
"Varying V, Fixed E","18","4086.0"
"Varying V, Fixed E","19","4206.0"
"Varying V, Fixed E","20","4237.0"
"Varying V, Fixed E","21","4470.0"
"Varying V, Fixed E","22","4842.0"
"Varying V, Fixed E","23","5152.0"
"Varying V, Fixed E","24","6056.0"
"Varying V, Fixed E","25","6044.0"
"Varying V, Fixed E","26","6145.0"
"Varying V, Fixed E","27","6742.0"
"Varying V, Fixed E","28","7555.0"
"Varying V, Fixed E","29","7351.0"
"Varying V, Fixed E","30","8777.0"
"Varying V, Fixed E","31","8420.0"
"Varying V, Fixed E","32","8929.0"
"Varying V, Fixed E","33","5562.0"
"Varying V, Fixed E","34","4875.0"
"Varying V, Fixed E","35","8070.0"
"Varying V, Fixed E","36","5516.0"
"Varying V, Fixed E","37","5424.0"
"Varying V, Fixed E","38","5682.0"
"Varying V, Fixed E","39","5909.0"
"Varying V, Fixed E","40","6318.0"
"Varying V, Fixed E","41","6298.0"
"Varying V, Fixed E","42","6561.0"
"Varying V, Fixed E","43","7679.0"
"Varying V, Fixed E","44","7976.0"
"Varying V, Fixed E","45","8153.0"
"Varying V, Fixed E","46","8573.0"
"Varying V, Fixed E","47","9719.0"
"Varying V, Fixed E","48","10704.0"
"Varying V, Fixed E","49","10602.0"
"Varying V, Fixed E","50","8560.0"
"Varying V, Fixed E","51","8690.0"
"Varying V, Fixed E","52","9212.0"
"Varying V, Fixed E","53","9418.0"
"Varying V, Fixed E","54","9945.0"
"Varying V, Fixed E","55","11153.0"
"Varying V, Fixed E","56","10306.0"
"Varying V, Fixed E","57","11407.0"
"Varying V, Fixed E","58","11359.0"
