"Number of Vertices","Average Time Taken(ns)"
"10","4603.0"
"11","3149.0"
"12","2143.9999999999995"
"13","2443.9999999999995"
"14","2366.0"
"15","2542.0000000000005"
"16","2700.0000000000005"
"17","2982.0"
"18","3760.0000000000005"
"19","4536.000000000002"
"20","4791.000000000001"
"21","7260.999999999999"
"22","6330.000000000001"
"23","6195.000000000001"
"24","7004.000000000001"
"25","4252.000000000002"
"26","5666.000000000002"
"27","4862.000000000002"
"28","5763.999999999999"
"29","5496.999999999998"
"30","6288.999999999998"
"31","6207.000000000002"
"32","7062.999999999999"
"33","7253.999999999999"
"34","8115.0"
"35","8030.999999999999"
"36","8364.0"
"37","8441.000000000007"
"38","9724.0"
"39","9573.000000000004"
"40","9785.000000000004"
"41","10375.999999999996"
"42","11140.000000000002"
"43","11052.000000000002"
"44","11622.0"
"45","12169.0"
"46","12520.0"
"47","16944.0"
"48","13983.999999999998"
"49","13998.999999999998"
"50","15150.0"
"51","15871.000000000002"
"52","16030.0"
"53","16225.999999999996"
"54","17148.0"
"55","17288.999999999996"
"56","17770.999999999996"
"57","18658.999999999996"
"58","19317.0"
"59","18980.000000000004"
"60","19918.99999999999"
"61","21011.0"
"62","21604.0"
"63","22935.0"
"64","22284.000000000004"
"65","23754.0"
"66","26748.999999999996"
"67","25246.999999999993"
"68","26470.999999999996"
"69","26195.999999999996"
"70","26480.00000000001"
"71","27355.99999999999"
"72","30006.99999999998"
"73","31094.999999999993"
"74","29558.000000000004"
"75","29880.0"
"76","30961.999999999996"
"77","31220.0"
"78","31723.00000000001"
"79","31831.000000000004"
"80","32400.999999999996"
"81","33596.000000000015"
"82","33573.00000000001"
"83","34493.99999999999"
"84","34905.999999999985"
"85","35799.00000000001"
"86","36777.00000000001"
"87","37038.00000000002"
"88","37341.99999999999"
"89","39065.99999999999"
"90","43755.0"
"91","45992.99999999999"
"92","41441.0"
"93","43913.99999999999"
"94","44233.99999999999"
"95","45267.99999999999"
"96","45362.000000000015"
"97","46221.00000000001"
"98","47061.99999999999"
"99","46983.000000000015"
"100","48005.99999999999"
"101","48605.99999999999"
"102","49491.0"
"103","49527.000000000015"
"104","49810.99999999999"
"105","51528.00000000003"
"106","51497.0"
"107","53084.99999999999"
"108","54121.00000000001"
"109","55523.00000000001"
"110","55807.00000000001"
"111","56542.0"
"112","61258.0"
"113","62644.99999999999"
"114","60251.99999999999"
"115","60955.00000000002"
