"Number of Edges for 100 Vertices","Average Time Taken(ns)"
"100","79870.0"
"198","56870.0"
"296","31544.000000000007"
"394","34303.000000000015"
"492","37597.00000000001"
"590","40156.0"
"688","43505.0"
"786","45790.999999999985"
"884","51066.0"
"982","53694.000000000015"
"1080","45291.99999999997"
"1178","42968.000000000015"
"1276","44264.0"
"1374","47344.0"
"1472","48930.00000000001"
"1570","45345.0"
"1668","45579.99999999999"
"1766","47578.00000000001"
"1864","48402.00000000001"
"1962","46944.000000000015"
"2060","47889.00000000001"
"2158","54669.0"
"2256","52497.999999999985"
"2354","58938.000000000015"
"2452","49537.999999999985"
"2550","52730.0"
"2648","49037.999999999985"
"2746","51999.00000000001"
"2844","59495.99999999999"
"2942","56680.999999999985"
"3040","54188.99999999999"
"3138","52136.00000000001"
"3236","52930.00000000001"
"3334","53749.00000000001"
"3432","51960.999999999985"
"3530","53410.000000000015"
"3628","55308.99999999999"
"3726","58768.99999999995"
"3824","55050.99999999999"
"3922","56067.000000000015"
"4020","54758.00000000001"
"4118","55262.000000000015"
"4216","55793.000000000015"
"4314","57298.99999999999"
"4412","60138.00000000001"
"4510","57051.99999999999"
"4608","62382.99999999999"
"4706","59349.0"
"4804","56746.0"
"4902","56764.000000000015"
"5000","57039.0"
"5098","56138.0"
"5196","55925.0"
"5294","56269.0"
"5392","56353.99999999999"
"5490","56388.99999999999"
"5588","56944.0"
"5686","58324.000000000015"
"5784","57119.000000000015"
"5882","57925.0"
"5980","56267.000000000015"
"6078","57309.00000000001"
"6176","54427.0"
"6274","56756.0"
"6372","53697.000000000015"
"6470","54998.99999999999"
"6568","54866.00000000002"
"6666","54460.99999999998"
"6764","55506.0"
"6862","53834.00000000001"
"6960","52768.00000000001"
"7058","56404.99999999999"
"7156","50673.00000000002"
"7254","50569.999999999985"
"7352","49683.999999999985"
"7450","50974.999999999985"
"7548","49106.000000000015"
"7646","49838.999999999985"
"7744","48066.0"
"7842","46727.99999999999"
"7940","49553.99999999999"
"8038","46894.999999999985"
"8136","46338.0"
"8234","46184.00000000001"
"8332","45284.0"
"8430","44403.99999999999"
"8528","44593.999999999985"
"8626","43393.99999999998"
"8724","43301.999999999985"
"8822","43251.00000000001"
"8920","41186.0"
"9018","42655.000000000015"
"9116","41275.99999999998"
"9214","39702.00000000002"
"9312","39083.0"
"9410","38230.99999999999"
"9508","40073.99999999999"
"9606","37980.00000000003"
"9704","35265.99999999999"
"9802","34398.99999999999"
"9900","33175.999999999985"
