"Array Size","Average Key Comparisons"
"1000","8390.76"
"100990","1532238.7299999997"
"200980","3249893.2900000014"
"300970","5016860.36"
"400960","6884453.840000001"
"500950","8692811.549999995"
"600940","1.0616204399999999E7"
"700930","1.2579250879999999E7"
"800920","1.4552059739999996E7"
"900910","1.6404832740000006E7"
"1000900","1.8367706419999998E7"
"1100890","2.037826236E7"
"1200880","2.2414037919999983E7"
"1300870","2.4454753010000005E7"
"1400860","2.653946792E7"
"1500850","2.8631934000000007E7"
"1600840","3.0686327939999998E7"
"1700830","3.263762346E7"
"1800820","3.4592115830000006E7"
"1900810","3.663131559999998E7"
"2000800","3.871605214999999E7"
"2100790","4.080446704999999E7"
"2200780","4.293720449E7"
"2300770","4.507141352999999E7"
"2400760","4.720819607999998E7"
"2500750","4.934843432E7"
"2600740","5.149004222000001E7"
"2700730","5.366909886E7"
"2800720","5.5858466270000026E7"
"2900710","5.804981166999999E7"
"3000700","6.024337076999999E7"
"3100690","6.243824440000002E7"
"3200680","6.455382488E7"
"3300670","6.660472314999998E7"
"3400660","6.865625993999998E7"
"3500650","7.071002008E7"
"3600640","7.276518512E7"
"3700630","7.485938776E7"
"3800620","7.704267525000001E7"
"3900610","7.922679112000002E7"
"4000600","8.141234611999999E7"
"4100590","8.359836598999998E7"
"4200580","8.578817912999998E7"
"4300570","8.802096250999999E7"
"4400560","9.025387018000004E7"
"4500550","9.248690941000003E7"
"4600540","9.472196150000001E7"
"4700530","9.695717513999999E7"
"4800520","9.919567986999999E7"
"4900510","1.0143580398999998E8"
"5000500","1.0367592050999998E8"
"5100490","1.0591747096E8"
"5200480","1.0815968305000004E8"
"5300470","1.1042816941999996E8"
"5400460","1.1271694009E8"
"5500450","1.1500583767999999E8"
"5600440","1.1729582477000001E8"
"5700430","1.1958592599000002E8"
"5800420","1.2187758751999995E8"
"5900410","1.2417107838E8"
"6000400","1.2646546012000002E8"
"6100390","1.2875989438999993E8"
"6200380","1.3105524329999997E8"
"6300370","1.3333734169999996E8"
"6400360","1.3548807707999995E8"
"6500350","1.3763782713000003E8"
"6600340","1.3978885492999998E8"
"6700330","1.4194019085000008E8"
"6800320","1.4409228438E8"
"6900310","1.4624619486E8"
"7000300","1.4839994816999996E8"
"7100290","1.5055463493000004E8"
"7200280","1.5271000380000004E8"
"7300270","1.5486518625000006E8"
"7400260","1.5709729213000005E8"
"7500250","1.593804405500001E8"
"7600240","1.616636215300001E8"
"7700230","1.6394795465999997E8"
"7800220","1.6623163214999995E8"
"7900210","1.6851678981000003E8"
"8000200","1.7080304124000007E8"
"8100190","1.7308865474999997E8"
"8200180","1.7537542913000005E8"
"8300170","1.7766231187000006E8"
"8400160","1.7995470952000007E8"
"8500150","1.8228689188E8"
"8600140","1.8461883173999992E8"
"8700130","1.8695141498000002E8"
"8800120","1.8928466529999998E8"
"8900110","1.9161767377999997E8"
"9000100","1.9395244109E8"
"9100090","1.9628681640000004E8"
"9200080","1.9862152555000007E8"
"9300070","2.0095693431000003E8"
"9400060","2.0329168288E8"
"9500050","2.0562988547000003E8"
"9600040","2.0796858083E8"
"9700030","2.1030886527999994E8"
"9800020","2.1264874607E8"
"9900010","2.149889975999999E8"
"10000000","2.1732990132999998E8"
