"S value","Number of Comparisons"
"0","8333.190476190477"
"1","8333.190476190477"
"2","8331.714285714284"
"3","8396.857142857141"
"4","8396.857142857141"
"5","8396.857142857141"
"6","8436.142857142857"
"7","8743.047619047618"
"8","8743.047619047618"
"9","8743.047619047618"
"10","8743.047619047618"
"11","8743.047619047618"
"12","8743.047619047618"
"13","8743.047619047618"
"14","9143.761904761905"
"15","9922.857142857143"
"16","9922.857142857143"
"17","9922.857142857143"
"18","9922.857142857143"
"19","9922.857142857143"
"20","9922.857142857143"
"21","9922.857142857143"
"22","9922.857142857143"
"23","9922.857142857143"
"24","9922.857142857143"
"25","9922.857142857143"
"26","9922.857142857143"
"27","9922.857142857143"
"28","9922.857142857143"
"29","9922.857142857143"
"30","12148.04761904762"
"31","12931.333333333332"
"32","12931.333333333332"
"33","12931.333333333332"
"34","12931.333333333332"
"35","12931.333333333332"
"36","12931.333333333332"
"37","12931.333333333332"
"38","12931.333333333332"
"39","12931.333333333332"
"40","12931.333333333332"
"41","12931.333333333332"
"42","12931.333333333332"
"43","12931.333333333332"
"44","12931.333333333332"
"45","12931.333333333332"
"46","12931.333333333332"
"47","12931.333333333332"
"48","12931.333333333332"
"49","12931.333333333332"
"50","12931.333333333332"
"51","12931.333333333332"
"52","12931.333333333332"
"53","12931.333333333332"
"54","12931.333333333332"
"55","12931.333333333332"
"56","12931.333333333332"
"57","12931.333333333332"
"58","12931.333333333332"
"59","12931.333333333332"
"60","12931.333333333332"
"61","16386.71428571429"
"62","19918.619047619046"
"63","19918.619047619046"
"64","19918.619047619046"
"65","19918.619047619046"
"66","19918.619047619046"
"67","19918.619047619046"
"68","19918.619047619046"
"69","19918.619047619046"
"70","19918.619047619046"
"71","19918.619047619046"
"72","19918.619047619046"
"73","19918.619047619046"
"74","19918.619047619046"
"75","19918.619047619046"
"76","19918.619047619046"
"77","19918.619047619046"
"78","19918.619047619046"
"79","19918.619047619046"
"80","19918.619047619046"
"81","19918.619047619046"
"82","19918.619047619046"
"83","19918.619047619046"
"84","19918.619047619046"
"85","19918.619047619046"
"86","19918.619047619046"
"87","19918.619047619046"
"88","19918.619047619046"
"89","19918.619047619046"
"90","19918.619047619046"
"91","19918.619047619046"
"92","19918.619047619046"
"93","19918.619047619046"
"94","19918.619047619046"
"95","19918.619047619046"
"96","19918.619047619046"
"97","19918.619047619046"
"98","19918.619047619046"
"99","19918.619047619046"
"100","19918.619047619046"
"101","19918.619047619046"
"102","19918.619047619046"
"103","19918.619047619046"
"104","19918.619047619046"
"105","19918.619047619046"
"106","19918.619047619046"
"107","19918.619047619046"
"108","19918.619047619046"
"109","19918.619047619046"
"110","19918.619047619046"
"111","19918.619047619046"
"112","19918.619047619046"
"113","19918.619047619046"
"114","19918.619047619046"
"115","19918.619047619046"
"116","19918.619047619046"
"117","19918.619047619046"
"118","19918.619047619046"
"119","19918.619047619046"
"120","19918.619047619046"
"121","19918.619047619046"
"122","19918.619047619046"
"123","19918.619047619046"
"124","34417.66666666666"
"125","34417.66666666666"
"126","34417.66666666666"
"127","34417.66666666666"
"128","34417.66666666666"
"129","34417.66666666666"
"130","34417.66666666666"
"131","34417.66666666666"
"132","34417.66666666666"
"133","34417.66666666666"
"134","34417.66666666666"
"135","34417.66666666666"
"136","34417.66666666666"
"137","34417.66666666666"
"138","34417.66666666666"
"139","34417.66666666666"
"140","34417.66666666666"
"141","34417.66666666666"
"142","34417.66666666666"
"143","34417.66666666666"
"144","34417.66666666666"
"145","34417.66666666666"
"146","34417.66666666666"
"147","34417.66666666666"
"148","34417.66666666666"
"149","34417.66666666666"
"150","34417.66666666666"
"151","34417.66666666666"
"152","34417.66666666666"
"153","34417.66666666666"
"154","34417.66666666666"
"155","34417.66666666666"
"156","34417.66666666666"
"157","34417.66666666666"
"158","34417.66666666666"
"159","34417.66666666666"
"160","34417.66666666666"
"161","34417.66666666666"
"162","34417.66666666666"
"163","34417.66666666666"
"164","34417.66666666666"
"165","34417.66666666666"
"166","34417.66666666666"
"167","34417.66666666666"
"168","34417.66666666666"
"169","34417.66666666666"
"170","34417.66666666666"
"171","34417.66666666666"
"172","34417.66666666666"
"173","34417.66666666666"
"174","34417.66666666666"
"175","34417.66666666666"
"176","34417.66666666666"
"177","34417.66666666666"
"178","34417.66666666666"
"179","34417.66666666666"
"180","34417.66666666666"
"181","34417.66666666666"
"182","34417.66666666666"
"183","34417.66666666666"
"184","34417.66666666666"
"185","34417.66666666666"
"186","34417.66666666666"
"187","34417.66666666666"
"188","34417.66666666666"
"189","34417.66666666666"
"190","34417.66666666666"
"191","34417.66666666666"
"192","34417.66666666666"
"193","34417.66666666666"
"194","34417.66666666666"
"195","34417.66666666666"
"196","34417.66666666666"
"197","34417.66666666666"
"198","34417.66666666666"
"199","34417.66666666666"
"200","34417.66666666666"
"201","34417.66666666666"
"202","34417.66666666666"
"203","34417.66666666666"
"204","34417.66666666666"
"205","34417.66666666666"
"206","34417.66666666666"
"207","34417.66666666666"
"208","34417.66666666666"
"209","34417.66666666666"
"210","34417.66666666666"
"211","34417.66666666666"
"212","34417.66666666666"
"213","34417.66666666666"
"214","34417.66666666666"
"215","34417.66666666666"
"216","34417.66666666666"
"217","34417.66666666666"
"218","34417.66666666666"
"219","34417.66666666666"
"220","34417.66666666666"
"221","34417.66666666666"
"222","34417.66666666666"
"223","34417.66666666666"
"224","34417.66666666666"
"225","34417.66666666666"
"226","34417.66666666666"
"227","34417.66666666666"
"228","34417.66666666666"
"229","34417.66666666666"
"230","34417.66666666666"
"231","34417.66666666666"
"232","34417.66666666666"
"233","34417.66666666666"
"234","34417.66666666666"
"235","34417.66666666666"
"236","34417.66666666666"
"237","34417.66666666666"
"238","34417.66666666666"
"239","34417.66666666666"
"240","34417.66666666666"
"241","34417.66666666666"
"242","34417.66666666666"
"243","34417.66666666666"
"244","34417.66666666666"
"245","34417.66666666666"
"246","34417.66666666666"
"247","34417.66666666666"
"248","34417.66666666666"
"249","64614.66666666667"
