"Number of Vertices","Number of edges","Average Key Comparisons"
"Varying E, Fixed V","100","100","8826.0"
"Varying E, Fixed V","198","100","128511.0"
"Varying E, Fixed V","296","100","47289.0"
"Varying E, Fixed V","394","100","42432.0"
"Varying E, Fixed V","492","100","80247.0"
"Varying E, Fixed V","590","100","100417.0"
"Varying E, Fixed V","688","100","209361.0"
"Varying E, Fixed V","786","100","220049.0"
"Varying E, Fixed V","884","100","242596.0"
"Varying E, Fixed V","982","100","16185.0"
"Varying E, Fixed V","1080","100","17761.0"
"Varying E, Fixed V","1178","100","19786.0"
"Varying E, Fixed V","1276","100","22863.0"
"Varying E, Fixed V","1374","100","29795.0"
"Varying E, Fixed V","1472","100","18969.0"
"Varying E, Fixed V","1570","100","18728.0"
"Varying E, Fixed V","1668","100","19567.0"
"Varying E, Fixed V","1766","100","23037.0"
"Varying E, Fixed V","1864","100","23017.0"
"Varying E, Fixed V","1962","100","24268.0"
"Varying E, Fixed V","2060","100","26357.0"
"Varying E, Fixed V","2158","100","28516.0"
"Varying E, Fixed V","2256","100","26662.0"
"Varying E, Fixed V","2354","100","27331.0"
"Varying E, Fixed V","2452","100","27267.0"
"Varying E, Fixed V","2550","100","26281.0"
"Varying E, Fixed V","2648","100","25415.0"
"Varying E, Fixed V","2746","100","36446.0"
"Varying E, Fixed V","2844","100","24791.0"
"Varying E, Fixed V","2942","100","25004.0"
"Varying E, Fixed V","3040","100","27378.0"
"Varying E, Fixed V","3138","100","27363.0"
"Varying E, Fixed V","3236","100","27274.0"
"Varying E, Fixed V","3334","100","32440.0"
"Varying E, Fixed V","3432","100","29049.0"
"Varying E, Fixed V","3530","100","31071.0"
"Varying E, Fixed V","3628","100","31885.0"
"Varying E, Fixed V","3726","100","37931.0"
"Varying E, Fixed V","3824","100","33271.0"
"Varying E, Fixed V","3922","100","32698.0"
"Varying E, Fixed V","4020","100","33149.0"
"Varying E, Fixed V","4118","100","36502.0"
"Varying E, Fixed V","4216","100","37630.0"
"Varying E, Fixed V","4314","100","41952.0"
"Varying E, Fixed V","4412","100","39559.0"
"Varying E, Fixed V","4510","100","40729.0"
"Varying E, Fixed V","4608","100","38529.0"
"Varying E, Fixed V","4706","100","34971.0"
"Varying E, Fixed V","4804","100","37382.0"
"Varying E, Fixed V","4902","100","40094.0"
"Varying E, Fixed V","5000","100","43024.0"
"Varying E, Fixed V","5098","100","35548.0"
"Varying E, Fixed V","5196","100","35660.0"
"Varying E, Fixed V","5294","100","38970.0"
"Varying E, Fixed V","5392","100","38824.0"
"Varying E, Fixed V","5490","100","33743.0"
"Varying E, Fixed V","5588","100","37042.0"
"Varying E, Fixed V","5686","100","40391.0"
"Varying E, Fixed V","5784","100","35365.0"
"Varying E, Fixed V","5882","100","33913.0"
"Varying E, Fixed V","5980","100","52576.0"
"Varying E, Fixed V","6078","100","41349.0"
"Varying E, Fixed V","6176","100","42114.0"
"Varying E, Fixed V","6274","100","49158.0"
"Varying E, Fixed V","6372","100","38755.0"
"Varying E, Fixed V","6470","100","39296.0"
"Varying E, Fixed V","6568","100","45406.0"
"Varying E, Fixed V","6666","100","36769.0"
"Varying E, Fixed V","6764","100","43957.0"
"Varying E, Fixed V","6862","100","40082.0"
"Varying E, Fixed V","6960","100","39574.0"
"Varying E, Fixed V","7058","100","38643.0"
"Varying E, Fixed V","7156","100","39878.0"
"Varying E, Fixed V","7254","100","37978.0"
"Varying E, Fixed V","7352","100","43145.0"
"Varying E, Fixed V","7450","100","41098.0"
"Varying E, Fixed V","7548","100","39482.0"
"Varying E, Fixed V","7646","100","41970.0"
"Varying E, Fixed V","7744","100","44027.0"
"Varying E, Fixed V","7842","100","43647.0"
"Varying E, Fixed V","7940","100","43940.0"
"Varying E, Fixed V","8038","100","41398.0"
"Varying E, Fixed V","8136","100","42708.0"
"Varying E, Fixed V","8234","100","41953.0"
"Varying E, Fixed V","8332","100","44612.0"
"Varying E, Fixed V","8430","100","44786.0"
"Varying E, Fixed V","8528","100","45640.0"
"Varying E, Fixed V","8626","100","46568.0"
"Varying E, Fixed V","8724","100","43325.0"
"Varying E, Fixed V","8822","100","42493.0"
"Varying E, Fixed V","8920","100","42960.0"
"Varying E, Fixed V","9018","100","43312.0"
"Varying E, Fixed V","9116","100","44699.0"
"Varying E, Fixed V","9214","100","43666.0"
"Varying E, Fixed V","9312","100","44603.0"
"Varying E, Fixed V","9410","100","44049.0"
"Varying E, Fixed V","9508","100","43599.0"
"Varying E, Fixed V","9606","100","44959.0"
"Varying E, Fixed V","9704","100","44804.0"
"Varying E, Fixed V","9802","100","45990.0"
"Varying E, Fixed V","9900","100","48000.0"
