Number of Vertices,Average Number of Comparisons Done
10,70.07
11,84.96
12,101.23
13,118.69
14,136.78
15,157.52
16,179.06
17,203.11
18,227.17
19,252.83
20,279.51
21,306.69
22,337.77
23,368.51
24,402.4
25,435.21
26,470.4
27,507.03
28,546.26
29,585.06
30,624.47
31,667.28
32,712.72
33,753.66
34,802.44
35,849.07
36,897.57
37,948.62
38,1000.1
39,1054.27
40,1108.18
41,1164.88
42,1221.97
43,1280.02
44,1339.76
45,1401.71
46,1462.87
47,1530.42
48,1595.05
49,1659.55
50,1730.66
51,1798.65
52,1868.63
53,1939.35
54,2014.66
55,2089.83
56,2169.05
57,2245.07
58,2324.38
59,2402.13
60,2487.98
61,2569.66
62,2654.15
63,2739.14
64,2830.38
65,2916.58
66,3009.58
67,3099.38
68,3190.01
69,3283.33
70,3380.55
71,3477.4
72,3576.29
73,3676.57
74,3776.86
75,3877.89
76,3979.9
77,4088.61
78,4195.15
79,4300.66
80,4410.48
81,4522.05
82,4633.91
83,4748.24
84,4864.97
85,4976.99
86,5095.76
87,5216.25
88,5337.33
89,5457.11
90,5578.02
91,5705.06
92,5833.07
93,5957.4
94,6084.52
95,6219.47
96,6344.74
97,6483.94
98,6611.32
99,6755.11
100,6886.11
101,7023.37
102,7165.37
103,7305.06
104,7446.96
105,7589.78
106,7733.9
107,7880.72
108,8027.3
109,8181.19
110,8329.75
111,8481.2
112,8638.78
113,8790.68
114,8944.3
115,9098.9
116,9260.65
117,9421.07
118,9584.08
119,9744.51
120,9903.61
121,10078
122,10243.65
123,10406.31
124,10584.73
125,10751.29
126,10920.17
127,11095.27
128,11269.04
129,11450.29
130,11623.51
131,11802.28
132,11983.7
133,12168.66
134,12351.92
135,12532.05
136,12721.5
137,12913.96
138,13098.36
139,13290.79
140,13486.02
141,13669.85
142,13866.41
143,14061.49
144,14260.97
145,14453.92
146,14653.37
147,14856.54
148,15063.91
149,15265.49
150,15476.75
151,15677.7
152,15886.16
153,16106.14
154,16308.25
155,16523.6
156,16735.3
157,16952.28
158,17161.32
159,17374.41
160,17597.79
161,17821.03
162,18042.11
163,18267.27
164,18483.81
165,18715.46
166,18948.49
167,19175.06
168,19403.57
169,19637.21
170,19873.82
171,20094.99
172,20344.17
173,20579.86
174,20814.57
175,21047.9
176,21293.04
177,21529.74
178,21779.38
179,22023.7
180,22268.82
181,22519.57
182,22760.97
183,23017.18
184,23273.93
185,23517.53
186,23780.71
187,24035.79
188,24292.26
189,24552.17
190,24812.63
191,25068.24
192,25340.74
193,25599.23
194,25864.54
195,26128.95
196,26409.89
197,26659.49
198,26934.99
199,27216.99
200,27491.57
201,27761.56
202,28035.21
203,28316.56
204,28596.38
205,28868.92
206,29150.27
207,29436.19
208,29732.49
209,30022.34
210,30302.59
211,30590.33
212,30869.31
213,31165.78
214,31476.84
215,31767.06
216,32064.66
217,32350.31
218,32646.72
219,32951.06
220,33249.01
221,33556.22
222,33862.89
223,34154.62
224,34474.47
225,34774.21
226,35090.68
227,35393.32
228,35711.78
229,36025.41
230,36342.68
231,36663.95
232,36971.32
233,37290.45
234,37613.84
235,37949.04
236,38248.06
237,38595.9
238,38900.19
239,39238.81
240,39564.34
241,39899.19
242,40231.03
243,40554.85
244,40903.4
245,41213.49
246,41555.89
247,41909.04
248,42245.35
249,42590.9
250,42928.11
251,43280.42
252,43632.19
253,43964.58
254,44311.83
255,44661.83
256,45012.54
257,45370.94
258,45717.08
259,46075.18
260,46429.78
261,46774.95
262,47145.63
263,47503.49
264,47856.49
265,48223.32
266,48595.69
267,48968.86
268,49332.36
269,49701.04
270,50070.64
271,50434.37
272,50801.99
273,51197.4
274,51560.57
275,51936.61
276,52317.76
277,52687.94
278,53087.44
279,53450.82
280,53850
281,54232.67
282,54605.42
283,55005.21
284,55383.97
285,55766.36
286,56168.47
287,56565.11
288,56960.86
289,57353.89
290,57754.45
291,58142.93
292,58558.03
293,58948.9
294,59345.31
295,59767.08
296,60166.52
297,60577.48
298,60977.63
299,61392.37
300,61795.34
301,62213.72
302,62621.52
303,63042.81
304,63449.91
305,63889.23
306,64274.57
307,64718.89
308,65140.39
309,65552.59
310,65986.03
311,66399.03
312,66841.24
313,67285.05
314,67700.61
315,68125.7
316,68559.28
317,68998.34
318,69436.1
319,69862.38
320,70298.54
321,70731.02
322,71184.79
323,71629.42
324,72069.84
325,72524.37
326,72973.62
327,73428.15
328,73844.8
329,74308.72
330,74776.36
331,75223.06
332,75677.09
333,76126
334,76601.79
335,77048.66
336,77503.61
337,77978.06
338,78437.64
339,78889.28
340,79373.85
341,79836.85
342,80294.8
343,80769.67
344,81253.54
345,81713.24
346,82184.39
347,82677.4
348,83139.81
349,83615.19
350,84103.6
351,84594.74
352,85059.65
353,85558.42
354,86036.49
355,86493.16
356,87015.28
357,87504.09
358,87991.77
359,88482.59
360,88972.94
361,89466.67
362,89960.11
363,90444.65
364,90961.78
365,91455.1
366,91959.55
367,92468.65
368,92967.41
369,93475.95
370,93979.33
371,94478.23
372,95007.42
373,95503.82
374,96017.47
375,96528.78
376,97033.94
377,97554.77
378,98067.23
379,98601.54
380,99122.59
381,99647.43
382,100177.57
383,100694.06
384,101235.4
385,101765.45
386,102269.29
387,102810.43
388,103363.29
389,103866.3
390,104412.73
391,104954.68
392,105482.46
393,106018.46
394,106556.19
395,107084.36
396,107645.03
397,108178.4
398,108743.49
399,109278.02
400,109828.15
401,110375.58
402,110926.4
403,111481.6
404,112035.86
405,112598.43
406,113141.82
407,113701.49
408,114261.3
409,114829.79
410,115376.88
411,115948.83
412,116504.3
413,117064.82
414,117649.54
415,118222.82
416,118769.4
417,119331.59
418,119923.55
419,120495.06
420,121086.98
421,121650.15
422,122219.15
423,122824.79
424,123403.56
425,123970.24
426,124553.94
427,125140.5
428,125731.51
429,126306.15
430,126887.11
431,127472.23
432,128085.61
433,128684.54
434,129279.61
435,129873.96
436,130463.4
437,131066.28
438,131664.82
439,132258.84
440,132866.71
441,133469.78
442,134084.86
443,134692.18
444,135263.44
445,135908.11
446,136522.02
447,137144.88
448,137753.51
449,138362.21
450,138996.43
451,139595.52
452,140235.12
453,140838.46
454,141452
455,142050.87
456,142690.1
457,143336.94
458,143974.24
459,144600.5
460,145223.46
461,145855.04
462,146496.57
463,147118.72
464,147759.98
465,148390.93
466,149029.79
467,149674.09
468,150347.13
469,150954.49
470,151607.45
471,152244.36
472,152888.75
473,153565.22
474,154193.85
475,154842.19
476,155489.91
477,156154.57
478,156820.12
479,157464.8
480,158113.42
481,158757.48
482,159419.64
483,160104.65
484,160750.98
485,161426.66
486,162077.15
487,162753.86
488,163445.6
489,164098.41
490,164769.51
491,165454.92
492,166128.2
493,166798.97
494,167481.35
495,168153.19
496,168835.89
497,169511.15
498,170190.5
499,170881.26
500,171562.57
501,172258.79
502,172939.51
503,173625.02
504,174325.81
505,175009.96
506,175717.83
507,176400.29
508,177124
509,177785.54
510,178483.04
511,179183.19
512,179879.8
513,180612.67
514,181252.87
515,181987.39
516,182711.55
517,183427.13
518,184136.6
519,184851.64
520,185575.59
521,186264.16
522,187003.6
523,187709.21
524,188399.81
525,189147.61
526,189854.84
527,190574.61
528,191312.91
529,192024.5
530,192744.03
531,193489.54
532,194218.72
533,194943.78
534,195667.2
535,196393.33
536,197142.83
537,197876.93
538,198603.31
539,199361.2
540,200111.72
541,200818.64
542,201574.4
543,202325.28
544,203068.01
545,203840.8
546,204586.4
547,205324.54
548,206070.32
549,206830.59
550,207568.72
551,208315.69
552,209091.19
553,209847.45
554,210601.83
555,211355.05
556,212143.91
557,212902.04
558,213668.59
559,214392.66
560,215162.08
