"Number of Vertices","Average Number of Comparisons Done"
"10","86.64999999999999"
"11","105.56"
"12","125.54000000000002"
"13","147.37000000000003"
"14","171.28999999999996"
"15","196.26000000000005"
"16","223.89999999999998"
"17","252.95999999999998"
"18","283.0499999999999"
"19","315.86"
"20","349.3899999999999"
"21","385.41000000000014"
"22","423.36"
"23","461.9499999999998"
"24","503.76"
"25","546.8100000000004"
"26","590.4399999999998"
"27","637.2399999999998"
"28","685.42"
"29","735.2000000000002"
"30","786.6899999999997"
"31","839.48"
"32","895.12"
"33","951.8799999999998"
"34","1009.8000000000001"
"35","1070.630000000001"
"36","1132.2700000000002"
"37","1196.07"
"38","1261.5500000000002"
"39","1327.8999999999999"
"40","1398.4199999999998"
"41","1468.8899999999999"
"42","1540.67"
"43","1615.4799999999996"
"44","1691.2400000000007"
"45","1768.56"
"46","1848.5300000000007"
"47","1928.8299999999995"
"48","2012.3599999999997"
"49","2097.21"
"50","2182.92"
"51","2271.770000000001"
"52","2360.170000000001"
"53","2453.1499999999983"
"54","2546.3699999999994"
"55","2640.499999999999"
"56","2738.869999999999"
"57","2837.0699999999997"
"58","2937.0400000000004"
"59","3038.33"
"60","3143.2900000000004"
"61","3248.320000000001"
"62","3355.5800000000004"
"63","3464.2200000000003"
"64","3575.0899999999992"
"65","3688.9"
"66","3802.2699999999995"
"67","3918.8199999999993"
"68","4036.56"
"69","4156.1"
"70","4277.340000000002"
"71","4399.240000000001"
"72","4525.049999999998"
"73","4651.299999999999"
"74","4778.869999999997"
"75","4908.789999999999"
"76","5041.720000000002"
"77","5174.4000000000015"
"78","5309.6399999999985"
"79","5446.0199999999995"
"80","5585.24"
"81","5726.260000000001"
"82","5867.160000000002"
"83","6010.900000000001"
"84","6157.379999999999"
"85","6304.87"
"86","6454.450000000003"
"87","6603.850000000001"
"88","6757.58"
"89","6911.36"
"90","7067.010000000003"
"91","7225.199999999998"
"92","7384.76"
"93","7545.21"
"94","7709.280000000001"
"95","7874.160000000001"
"96","8041.299999999997"
"97","8208.960000000003"
"98","8377.49"
"99","8550.309999999998"
"100","8725.280000000002"
"101","8897.890000000001"
"102","9077.749999999998"
"103","9253.920000000002"
"104","9435.560000000005"
"105","9617.400000000005"
"106","9800.970000000001"
"107","9988.0"
"108","10174.700000000003"
"109","10363.490000000002"
"110","10555.179999999998"
"111","10747.51"
"112","10941.78"
"113","11138.979999999996"
"114","11334.23"
"115","11536.629999999997"
"116","11736.74"
"117","11940.560000000005"
"118","12143.82"
"119","12351.700000000003"
"120","12559.960000000005"
"121","12770.539999999997"
"122","12981.369999999995"
"123","13195.640000000003"
"124","13411.679999999993"
"125","13627.850000000004"
"126","13846.820000000002"
"127","14065.859999999995"
"128","14290.32"
"129","14513.329999999998"
"130","14739.670000000002"
"131","14967.460000000003"
"132","15196.2"
"133","15428.189999999999"
"134","15659.600000000004"
"135","15894.119999999997"
"136","16131.630000000003"
"137","16369.609999999993"
"138","16606.67"
"139","16849.23000000001"
"140","17090.359999999997"
"141","17339.4"
"142","17586.009999999987"
"143","17833.28000000001"
"144","18084.020000000004"
"145","18335.740000000005"
"146","18588.02"
"147","18844.930000000008"
"148","19100.02"
"149","19360.43"
"150","19619.48999999999"
"151","19883.69"
"152","20147.81"
"153","20414.709999999985"
"154","20681.62"
"155","20950.949999999997"
"156","21220.579999999998"
"157","21492.04"
"158","21768.649999999998"
"159","22045.990000000005"
"160","22322.84999999999"
"161","22604.43"
"162","22882.629999999997"
"163","23169.73"
"164","23452.860000000008"
