"Number of Vertices","Average Time Taken(ns)"
"10","4307.000000000001"
"11","2979.999999999998"
"12","2184.999999999999"
"13","2870.000000000001"
"14","2908.000000000002"
"15","2442.999999999999"
"16","2743.0"
"17","3092.999999999998"
"18","3311.0"
"19","3775.000000000001"
"20","4136.000000000003"
"21","4571.999999999997"
"22","4863.000000000001"
"23","6298.000000000002"
"24","6661.999999999999"
"25","7188.0"
"26","11223.999999999996"
"27","4774.999999999997"
"28","5170.000000000001"
"29","5524.999999999998"
"30","5899.000000000002"
"31","6294.999999999998"
"32","6589.000000000001"
"33","7440.999999999998"
"34","7345.000000000001"
"35","7664.0"
"36","9547.999999999995"
"37","8565.0"
"38","8874.999999999996"
"39","9485.000000000002"
"40","9708.000000000004"
"41","11337.000000000004"
"42","13227.000000000004"
"43","11046.000000000002"
"44","11587.999999999996"
"45","11945.999999999998"
"46","15237.99999999999"
"47","13317.000000000004"
"48","13811.000000000002"
"49","14339.000000000005"
"50","14847.0"
"51","15359.999999999995"
"52","15185.999999999998"
"53","16269.000000000002"
"54","17335.0"
"55","17719.00000000001"
"56","17991.000000000004"
"57","18049.999999999993"
"58","20500.0"
"59","18975.0"
"60","19730.00000000001"
"61","20145.999999999996"
"62","20867.999999999996"
"63","21904.0"
"64","23751.000000000007"
"65","23300.999999999996"
"66","23192.000000000007"
"67","24590.000000000004"
"68","25800.999999999996"
"69","25579.999999999993"
"70","25687.000000000015"
"71","27661.000000000007"
"72","27477.99999999999"
"73","29558.999999999996"
"74","30132.0"
"75","29726.000000000004"
"76","30554.00000000001"
"77","31401.000000000007"
"78","32615.999999999993"
"79","33031.000000000015"
"80","34077.99999999999"
"81","35240.0"
"82","35489.000000000015"
"83","36176.0"
"84","36903.0"
"85","37128.99999999998"
"86","37035.00000000001"
"87","40070.999999999985"
"88","38883.999999999985"
"89","40824.00000000001"
"90","44145.0"
"91","42030.0"
"92","43782.0"
"93","44778.99999999998"
"94","44115.0"
"95","45620.00000000002"
"96","46963.999999999985"
"97","51329.00000000001"
"98","48947.000000000015"
"99","49339.99999999999"
"100","52950.99999999999"
"101","53268.0"
"102","52858.99999999999"
"103","53045.000000000015"
"104","55411.00000000001"
"105","54248.00000000001"
"106","56467.00000000001"
"107","61885.0"
"108","57482.99999999999"
"109","59463.99999999998"
"110","60259.0"
"111","61111.999999999985"
"112","60760.0"
"113","61922.00000000002"
"114","64109.00000000002"
"115","65822.00000000001"
"116","67254.99999999997"
"117","68421.0"
"118","74826.00000000001"
"119","68541.0"
"120","71274.99999999997"
"121","71002.0"
"122","73747.0"
"123","73563.00000000001"
"124","77389.00000000003"
"125","76748.00000000004"
"126","75169.99999999999"
"127","78203.00000000001"
"128","78244.99999999997"
"129","80120.99999999999"
"130","80718.99999999996"
"131","81372.0"
"132","83111.99999999999"
"133","86760.0"
"134","85997.99999999997"
"135","85866.00000000003"
"136","87861.0"
"137","90526.00000000001"
"138","88657.00000000003"
"139","92041.99999999999"
"140","91985.0"
"141","95921.00000000004"
"142","96212.99999999999"
"143","96086.99999999993"
"144","96591.99999999997"
"145","97022.99999999997"
"146","96039.99999999997"
"147","98665.00000000003"
"148","102471.0"
"149","102166.99999999997"
"150","104577.00000000004"
"151","108603.0"
"152","107097.00000000001"
"153","125819.0"
"154","111942.00000000003"
"155","113074.0"
"156","114584.00000000001"
"157","115118.99999999999"
"158","116541.99999999999"
"159","116247.00000000001"
"160","120824.00000000001"
"161","121274.99999999997"
"162","120268.99999999997"
"163","121927.99999999997"
"164","122276.00000000003"
"165","129001.0"
"166","127263.99999999997"
"167","128505.99999999997"
"168","131308.00000000003"
"169","132649.00000000003"
"170","135508.0"
"171","132875.9999999999"
"172","131726.00000000003"
"173","138437.99999999994"
"174","137010.00000000003"
"175","137121.99999999997"
"176","139479.99999999997"
"177","140987.00000000003"
"178","141671.9999999999"
"179","149374.00000000003"
"180","158509.0"
"181","155308.99999999994"
"182","163279.0"
"183","151228.0000000001"
"184","165600.0"
"185","158342.99999999988"
